"F_Id","F_Type","F_Title","F_BodyText","F_PriorityLevel","F_ToUserIds","F_IsRead","F_Description","F_SortCode","F_EnabledMark","F_CreatorTime","F_CreatorUserId","F_LastModifyTime","F_LastModifyUserId","F_DeleteMark","F_DeleteTime","F_DeleteUserId"
"0149df3cd6614dbe97fa96176b0ca962","2","超级管理员的合同申请单表【审核】","流程单据：WF_CAS201911290004
{
  ""F_Id"": ""6486a92475b445b4920c3fc5fb924b49"",
  ""F_FlowId"": ""13825469cb6b4597853c64d707c14daa"",
  ""F_FlowTitle"": ""超级管理员的合同申请单表"",
  ""F_FlowUrgent"": 1,
  ""F_BillNo"": ""WF_CAS201911290004"",
  ""F_ApplyUser"": ""超级管理员/admin"",
  ""F_ApplyDate"": ""2019-11-29 00:00:00"",
  ""F_ContractId"": null,
  ""F_ContractNum"": null,
  ""F_FirstParty"": null,
  ""F_SecondParty"": null,
  ""F_ContractName"": null,
  ""F_ContractType"": null,
  ""F_PersonCharge"": null,
  ""F_LeadDepartment"": null,
  ""F_SignArea"": null,
  ""F_IncomeAmount"": null,
  ""F_TotalExpenditure"": null,
  ""F_ContractPeriod"": null,
  ""F_PaymentMethod"": ""Quarterlyknot"",
  ""F_BudgetaryApproval"": null,
  ""F_StartContractDate"": ""2019-11-29 16:57:00"",
  ""F_EndContractDate"": ""2019-12-04 16:57:00"",
  ""F_FileJson"": ""[]"",
  ""F_ContractContent"": null
}",,,,,,,"29/11/2019 16:57:22","admin","29/11/2019 16:57:22","admin",,,
"018f1e16de18435d84ff75dcb7644911","2","管理员的销售订单【审核】","流程单据：WF_SO202003160001
{
  ""F_Id"": ""05555466a94c4b83a19a6290530ba0f4"",
  ""F_FlowId"": ""159154d4292643439e6219d8a00c95af"",
  ""F_FlowTitle"": ""管理员的销售订单"",
  ""F_FlowUrgent"": 1,
  ""F_BillNo"": ""WF_SO202003160001"",
  ""F_Salesman"": null,
  ""F_CustomerName"": ""qwqwq"",
  ""F_Contacts"": null,
  ""F_ContactPhone"": null,
  ""F_CustomerAddres"": null,
  ""F_TicketNum"": null,
  ""F_TicketDate"": null,
  ""F_InvoiceType"": null,
  ""F_PaymentMethod"": null,
  ""F_PaymentMoney"": null,
  ""F_SalesDate"": ""2020-03-16 00:00:00"",
  ""F_FileJson"": ""[]"",
  ""F_Description"": null
}",,,,,,,"16/3/2020 11:31:41","admin","16/3/2020 11:31:41","admin",,,
"027b25679dda4f4daf81f00afdb72420","2","薄凡白的行政赏罚单【审核】","{""id"":""721e427c020c4724a3db8c003b20c264"",""type"":2}",,,,,,,"23/3/2021 07:13:34","03d159a3-0f88-424c-a24f-02f63855fe4f","23/3/2021 07:13:34","03d159a3-0f88-424c-a24f-02f63855fe4f",,,
"0306404e5f4c402f98c117db68955696","2","管理员的请假申请【抄送】","{""id"":""54145533363d4cac804d2d1bf5814b97"",""type"":3}",,,,,,,"21/1/2021 08:33:54","admin","21/1/2021 08:33:54","admin",,,
"032c443bf6b24dc7a7159a81a86f34e7","2","薄凡白的车辆申请【审核】","{""id"":""772536eafe3549b19d43b2e2a6858405"",""type"":2}",,,,,,,"23/3/2021 07:59:28","03d159a3-0f88-424c-a24f-02f63855fe4f","23/3/2021 07:59:28","03d159a3-0f88-424c-a24f-02f63855fe4f",,,
"03340a82adb54daf906e8b792dcd5377","2","薄凡白的请假申请【抄送】","{""id"":""37354aa260d348e2aa2a4942d8825daa"",""type"":3}",,,,,,,"20/1/2021 11:18:57","03d159a3-0f88-424c-a24f-02f63855fe4f","20/1/2021 11:18:57","03d159a3-0f88-424c-a24f-02f63855fe4f",,,
"035b489f709f41148f10af03c05b2164","2","管理员的订单示例【流程结束】",,,,,,,,"1/2/2021 06:35:10","admin","1/2/2021 06:35:10","admin",,,
"0431d9f8a21943a7acbd25b51733e3ef","2","管理员的订单示例【审核】","{""id"":""f8458a93369f4336a2df6f29a823fb40"",""type"":2}",,,,,,,"23/3/2021 08:42:36","admin","23/3/2021 08:42:36","admin",,,
"0452354bc7f649b2a3eddcd827c73da4","2","超级管理员的请假申请【审核】","流程单据：YGQJ-201908010001
{
  ""F_Id"": ""25e7c126e9c242a3994f0f2babeaf7ec"",
  ""F_FlowId"": ""f74ec05d58e74d7dabdf10cb6b2f87ae"",
  ""F_FlowTitle"": ""超级管理员的请假申请"",
  ""F_FlowUrgent"": 1,
  ""F_BillNo"": ""YGQJ-201908010001"",
  ""F_ApplyUser"": ""超级管理员/admin"",
  ""F_ApplyDate"": ""2019-08-01"",
  ""F_ApplyDept"": ""技术部"",
  ""F_ApplyPost"": ""董事长"",
  ""F_LeaveType"": ""事假"",
  ""F_LeaveReason"": ""1111111111"",
  ""F_LeaveStartTime"": ""2019-08-01 17:25:00"",
  ""F_LeaveEndTime"": ""2019-08-08 17:25:00"",
  ""F_LeaveDayCount"": ""7"",
  ""F_LeaveHour"": ""8"",
  ""F_FileJson"": ""[]"",
  ""F_Description"": null
}",,,,,,,"19/8/2019 16:01:28","admin","19/8/2019 16:01:28","admin",,,
"047f61c466974144babcdac1a7c6afa1","2","管理员的出差预支申请单【审核】","{""id"":""7b055d9c2c14487db37d56352027fb85"",""type"":2}",,,,,,,"23/3/2021 09:25:25","admin","23/3/2021 09:25:25","admin",,,
